line,metadata,scene boundary,scene description,actor,dialogue,time
Line 1,,,,JACK,Great. Come on.,"00:01:23,210 --> 00:01:24,170"
Line 2,,,,CLAIRE,Did we get it?,"00:02:57,429 --> 00:02:58,889"
